element,element name,year,country,tons,total_production,market_share,HHI_contribution,HHI,info
Al,Aluminum,2016,Argentina,412000,59429000,0.693264231,0.480615294,3162.23219,
Al,Aluminum,2016,Australia,1635000,59429000,2.751182083,7.569002853,3162.23219,
Al,Aluminum,2016,Azerbaijan,37000,59429000,0.062259166,0.003876204,3162.23219,
Al,Aluminum,2016,Bahrain,971000,59429000,1.633882448,2.669571854,3162.23219,
Al,Aluminum,2016,Bosnia and Herzegovina3,107000,59429000,0.180046779,0.032416842,3162.23219,
Al,Aluminum,2016,Brazil,793000,59429000,1.334365377,1.78053096,3162.23219,
Al,Aluminum,2016,Cameroon,65000,59429000,0.109374211,0.011962718,3162.23219,
Al,Aluminum,2016,Canada,3209000,59429000,5.399720675,29.15698337,3162.23219,
Al,Aluminum,2016,China,32698000,59429000,55.0202763,3027.230804,3162.23219,
Al,Aluminum,2016,Egypt,296000,59429000,0.498073331,0.248077043,3162.23219,
Al,Aluminum,2016,France,425000,59429000,0.715139074,0.511423894,3162.23219,
Al,Aluminum,2016,Germany,547000,59429000,0.920426055,0.847184122,3162.23219,
Al,Aluminum,2016,Ghana,40000,59429000,0.067307207,0.00453026,3162.23219,
Al,Aluminum,2016,Greece,181000,59429000,0.304565111,0.092759907,3162.23219,
Al,Aluminum,2016,Iceland,854000,59429000,1.437008868,2.064994486,3162.23219,
Al,Aluminum,2016,India,2723000,59429000,4.581938111,20.99415685,3162.23219,
Al,Aluminum,2016,Indonesia,245000,59429000,0.412256642,0.169955539,3162.23219,
Al,Aluminum,2016,Iran,341000,59429000,0.573793939,0.329239484,3162.23219,
Al,Aluminum,2016,Kazakhstan,246000,59429000,0.413939323,0.171345763,3162.23219,
Al,Aluminum,2016,Malaysia,620000,59429000,1.043261707,1.08839499,3162.23219,
Al,Aluminum,2016,Montenegro,40000,59429000,0.067307207,0.00453026,3162.23219,
Al,Aluminum,2016,Mozambique,571000,59429000,0.960810379,0.923156584,3162.23219,
Al,Aluminum,2016,Netherlands,36000,59429000,0.060576486,0.003669511,3162.23219,
Al,Aluminum,2016,New Zealand,339000,59429000,0.570428579,0.325388763,3162.23219,
Al,Aluminum,2016,Norway,1247000,59429000,2.098302176,4.402872021,3162.23219,
Al,Aluminum,2016,Oman,386000,59429000,0.649514547,0.421869146,3162.23219,
Al,Aluminum,2016,Qatar,612000,59429000,1.029800266,1.060488588,3162.23219,
Al,Aluminum,2016,Romania,273000,59429000,0.459371687,0.211022347,3162.23219,
Al,Aluminum,2016,Russia,3561000,59429000,5.992024096,35.90435277,3162.23219,
Al,Aluminum,2016,Saudi Arabia,740000,59429000,1.245183328,1.55048152,3162.23219,
Al,Aluminum,2016,Slovakia,174000,59429000,0.29278635,0.085723847,3162.23219,
Al,Aluminum,2016,Slovenia,84000,59429000,0.141345135,0.019978447,3162.23219,
Al,Aluminum,2016,South Africa,701000,59429000,1.179558801,1.391358966,3162.23219,
Al,Aluminum,2016,Spain,350000,59429000,0.588938061,0.346848039,3162.23219,
Al,Aluminum,2016,Sweden,124000,59429000,0.208652341,0.0435358,3162.23219,
Al,Aluminum,2016,Tajikistan,129000,59429000,0.217065742,0.047117536,3162.23219,
Al,Aluminum,2016,Turkey,79000,59429000,0.132931734,0.017670846,3162.23219,
Al,Aluminum,2016,United Arab Emirates,2525000,59429000,4.248767437,18.05202473,3162.23219,
Al,Aluminum,2016,United Kingdom,48000,59429000,0.080768648,0.006523575,3162.23219,
Al,Aluminum,2016,United States,818000,59429000,1.376432381,1.894566101,3162.23219,
Al,Aluminum,2016,Venezuela,147000,59429000,0.247353985,0.061183994,3162.23219,
Al,Aluminum,2017,Argentina,403000,59366000,0.67883974,0.460823392,3100.077324,
Al,Aluminum,2017,Australia,1487000,59366000,2.504800728,6.274026685,3100.077324,
Al,Aluminum,2017,Azerbaijan,29000,59366000,0.04884951,0.002386275,3100.077324,
Al,Aluminum,2017,Bahrain,981000,59366000,1.652461005,2.730627372,3100.077324,
Al,Aluminum,2017,Bosnia and Herzegovina,126000,59366000,0.212242698,0.045046963,3100.077324,
Al,Aluminum,2017,Brazil,802000,59366000,1.350941616,1.825043251,3100.077324,
Al,Aluminum,2017,Cameroon,67000,59366000,0.112859212,0.012737202,3100.077324,
Al,Aluminum,2017,Canada,3212000,59366000,5.410504329,29.27355709,3100.077324,
Al,Aluminum,2017,China,32273000,59366000,54.36276657,2955.310389,3100.077324,
Al,Aluminum,2017,Egypt,314000,59366000,0.528922279,0.279758777,3100.077324,
Al,Aluminum,2017,France,430000,59366000,0.724320318,0.524639923,3100.077324,
Al,Aluminum,2017,Germany,550000,59366000,0.926456221,0.858321129,3100.077324,
Al,Aluminum,2017,Ghana,35000,59366000,0.058956305,0.003475846,3100.077324,
Al,Aluminum,2017,Greece,182000,59366000,0.306572786,0.093986873,3100.077324,
Al,Aluminum,2017,Iceland,764000,59366000,1.286931914,1.656193751,3100.077324,
Al,Aluminum,2017,India,3269000,59366000,5.506518883,30.32175021,3100.077324,
Al,Aluminum,2017,Indonesia,219000,59366000,0.368898022,0.136085751,3100.077324,
Al,Aluminum,2017,Iran,338000,59366000,0.569349459,0.324158807,3100.077324,
Al,Aluminum,2017,Kazakhstan,254000,59366000,0.427854327,0.183059325,3100.077324,
Al,Aluminum,2017,Malaysia,700000,59366000,1.179126099,1.390338358,3100.077324,
Al,Aluminum,2017,Montenegro,39000,59366000,0.065694168,0.004315724,3100.077324,
Al,Aluminum,2017,Mozambique,577000,59366000,0.971936799,0.944661141,3100.077324,
Al,Aluminum,2017,Netherlands,29000,59366000,0.04884951,0.002386275,3100.077324,
Al,Aluminum,2017,New Zealand,337000,59366000,0.567664993,0.322243545,3100.077324,
Al,Aluminum,2017,Norway,1253000,59366000,2.110635717,4.454783132,3100.077324,
Al,Aluminum,2017,Oman,253000,59366000,0.426169862,0.181620751,3100.077324,
Al,Aluminum,2017,Qatar,620000,59366000,1.044368831,1.090706254,3100.077324,
Al,Aluminum,2017,Romania,282000,59366000,0.475019371,0.225643403,3100.077324,
Al,Aluminum,2017,Russia,3583000,59366000,6.035441162,36.42655002,3100.077324,
Al,Aluminum,2017,Saudi Arabia,786000,59366000,1.323990163,1.752949951,3100.077324,
Al,Aluminum,2017,Slovakia,173000,59366000,0.291412593,0.084921299,3100.077324,
Al,Aluminum,2017,Slovenia,84000,59366000,0.141495132,0.020020872,3100.077324,
Al,Aluminum,2017,South Africa,716000,59366000,1.206077553,1.454623063,3100.077324,
Al,Aluminum,2017,Spain,350000,59366000,0.58956305,0.347584589,3100.077324,
Al,Aluminum,2017,Sweden,123000,59366000,0.2071893,0.042927406,3100.077324,
Al,Aluminum,2017,Tajikistan,103000,59366000,0.173499983,0.030102244,3100.077324,
Al,Aluminum,2017,Turkey,80000,59366000,0.134757268,0.018159521,3100.077324,
Al,Aluminum,2017,United Arab Emirates,2611000,59366000,4.39814035,19.34363854,3100.077324,
Al,Aluminum,2017,United Kingdom,47000,59366000,0.079169895,0.006267872,3100.077324,
Al,Aluminum,2017,United States,741000,59366000,1.248189199,1.557976277,3100.077324,
Al,Aluminum,2017,Venezuela,144000,59366000,0.242563083,0.058836849,3100.077324,
Al,Aluminum,2018,Argentina,419000,63315000,0.661770513,0.437940211,3329.69415,
Al,Aluminum,2018,Australia,1574000,63315000,2.485982784,6.180110405,3329.69415,
Al,Aluminum,2018,Azerbaijan,47000,63315000,0.074232015,0.005510392,3329.69415,
Al,Aluminum,2018,Bahrain,1011000,63315000,1.596778015,2.549700028,3329.69415,
Al,Aluminum,2018,Bosnia and Herzegovina,132000,63315000,0.208481403,0.043464495,3329.69415,
Al,Aluminum,2018,Brazil,659000,63315000,1.040827608,1.08332211,3329.69415,
Al,Aluminum,2018,Cameroon,85000,63315000,0.134249388,0.018022898,3329.69415,
Al,Aluminum,2018,Canada,2923000,63315000,4.616599542,21.31299133,3329.69415,
Al,Aluminum,2018,China,35802000,63315000,56.54584222,3197.432272,3329.69415,
Al,Aluminum,2018,Egypt,300000,63315000,0.473821369,0.22450669,3329.69415,
Al,Aluminum,2018,France,390000,63315000,0.61596778,0.379416306,3329.69415,
Al,Aluminum,2018,Germany,529000,63315000,0.835505015,0.698068629,3329.69415,
Al,Aluminum,2018,Ghana,42000,63315000,0.066334992,0.004400331,3329.69415,
Al,Aluminum,2018,Greece,187000,63315000,0.295348654,0.087230827,3329.69415,
Al,Aluminum,2018,Iceland,734000,63315000,1.15928295,1.343936959,3329.69415,
Al,Aluminum,2018,India,3675000,63315000,5.804311774,33.69003518,3329.69415,
Al,Aluminum,2018,Indonesia,242000,63315000,0.382215905,0.146088998,3329.69415,
Al,Aluminum,2018,Iran,305000,63315000,0.481718392,0.232052609,3329.69415,
Al,Aluminum,2018,Kazakhstan,258000,63315000,0.407486378,0.166045148,3329.69415,
Al,Aluminum,2018,Malaysia,750000,63315000,1.184553423,1.403166813,3329.69415,
Al,Aluminum,2018,Montenegro,40000,63315000,0.063176183,0.00399123,3329.69415,
Al,Aluminum,2018,Mozambique,571000,63315000,0.901840006,0.813315397,3329.69415,
Al,Aluminum,2018,Netherlands,41000,63315000,0.064755587,0.004193286,3329.69415,
Al,Aluminum,2018,New Zealand,341000,63315000,0.538576956,0.290065138,3329.69415,
Al,Aluminum,2018,Norway,1295000,63315000,2.045328911,4.183370354,3329.69415,
Al,Aluminum,2018,Oman,380000,63315000,0.600173735,0.360208512,3329.69415,
Al,Aluminum,2018,Qatar,616000,63315000,0.972913212,0.946560118,3329.69415,
Al,Aluminum,2018,Romania,283000,63315000,0.446971492,0.199783514,3329.69415,
Al,Aluminum,2018,Russia,3627000,63315000,5.728500355,32.81571632,3329.69415,
Al,Aluminum,2018,Saudi Arabia,776000,63315000,1.225617942,1.50213934,3329.69415,
Al,Aluminum,2018,Slovakia,174000,63315000,0.274816394,0.075524051,3329.69415,
Al,Aluminum,2018,Slovenia,81000,63315000,0.12793177,0.016366538,3329.69415,
Al,Aluminum,2018,South Africa,714000,63315000,1.127694859,1.271695695,3329.69415,
Al,Aluminum,2018,Spain,350000,63315000,0.552791598,0.30557855,3329.69415,
Al,Aluminum,2018,Sweden,125000,63315000,0.197425571,0.038976856,3329.69415,
Al,Aluminum,2018,Tajikistan,96000,63315000,0.151622838,0.022989485,3329.69415,
Al,Aluminum,2018,Turkey,80000,63315000,0.126352365,0.01596492,3329.69415,
Al,Aluminum,2018,United Arab Emirates,2640000,63315000,4.16962805,17.38579808,3329.69415,
Al,Aluminum,2018,United Kingdom,44000,63315000,0.069493801,0.004829388,3329.69415,
Al,Aluminum,2018,United States,891000,63315000,1.407249467,1.980351062,3329.69415,
Al,Aluminum,2018,Venezuela,86000,63315000,0.135828793,0.018449461,3329.69415,
Al,Aluminum,2019,Argentina,427000,62609000,0.682010574,0.465138422,3268.561946,
Al,Aluminum,2019,Australia,1570000,62609000,2.507626699,6.288191662,3268.561946,
Al,Aluminum,2019,Azerbaijan,33000,62609000,0.052708077,0.002778141,3268.561946,
Al,Aluminum,2019,Bahrain,1365000,62609000,2.180197735,4.753262164,3268.561946,
Al,Aluminum,2019,Bosnia and Herzegovina,69000,62609000,0.110207798,0.012145759,3268.561946,
Al,Aluminum,2019,Brazil,650000,62609000,1.038189398,1.077837225,3268.561946,
Al,Aluminum,2019,Cameroon,63000,62609000,0.100624511,0.010125292,3268.561946,
