element,element name,year,country,tons,total_reserve,market_share,HHI_contribution,HHI,Info
Al,Aluminum,,,,,,,,Global resources of bauxite are estimated to be between 55 billion and 75 billion tons and are sufficient to meet world demand for metal well into the future.
Ag,Silver,2016,United States,25000,571000,4.378283713,19.16936827,1322.625069,
Ag,Silver,2016,Australia,89000,571000,15.58669002,242.9449057,1322.625069,
Ag,Silver,2016,Bolivia,22000,571000,3.852889667,14.84475879,1322.625069,
Ag,Silver,2016,Chile,77000,571000,13.48511384,181.8482952,1322.625069,
Ag,Silver,2016,China,39000,571000,6.830122592,46.65057462,1322.625069,
Ag,Silver,2016,Mexico,37000,571000,6.479859895,41.98858426,1322.625069,
Ag,Silver,2016,Peru,120000,571000,21.01576182,441.6622449,1322.625069,
Ag,Silver,2016,Poland,85000,571000,14.88616462,221.5978972,1322.625069,
Ag,Silver,2016,Russia,20000,571000,3.50262697,12.26839569,1322.625069,
Ag,Silver,2016,Other Contries,57000,571000,9.982486865,99.65004401,1322.625069,
Ag,Silver,2017,United States,25000,533000,4.69043152,22.00014784,1249.361996,
Ag,Silver,2017,Australia,89000,533000,16.69793621,278.8210737,1249.361996,
Ag,Silver,2017,Bolivia,22000,533000,4.127579737,17.03691449,1249.361996,
Ag,Silver,2017,Chile,27000,533000,5.065666041,25.66097244,1249.361996,
Ag,Silver,2017,China,39000,533000,7.317073171,53.53955979,1249.361996,
Ag,Silver,2017,Mexico,37000,533000,6.941838649,48.18912383,1249.361996,
Ag,Silver,2017,Peru,93000,533000,17.44840525,304.4468459,1249.361996,
Ag,Silver,2017,Poland,89000,533000,16.69793621,278.8210737,1249.361996,
Ag,Silver,2017,Russia,55000,533000,10.31894934,106.4807156,1249.361996,
Ag,Silver,2017,Other Contries,57000,533000,10.69418386,114.3655685,1249.361996,
Ag,Silver,2018,United States,25000,562000,4.448398577,19.7882499,1337.052469,
Ag,Silver,2018,Australia,89000,562000,15.83629893,250.7883639,1337.052469,
Ag,Silver,2018,Bolivia,22000,562000,3.914590747,15.32402072,1337.052469,
Ag,Silver,2018,Chile,26000,562000,4.62633452,21.40297109,1337.052469,
Ag,Silver,2018,China,41000,562000,7.295373665,53.22247692,1337.052469,
Ag,Silver,2018,Mexico,37000,562000,6.583629893,43.34418257,1337.052469,
Ag,Silver,2018,Peru,110000,562000,19.57295374,383.100518,1337.052469,
Ag,Silver,2018,Poland,110000,562000,19.57295374,383.100518,1337.052469,
Ag,Silver,2018,Russia,45000,562000,8.007117438,64.11392966,1337.052469,
Ag,Silver,2018,Other Contries,57000,562000,10.14234875,102.8672383,1337.052469,
Ag,Silver,2019,United States,25000,563000,4.440497336,19.71801659,1344.26395,
Ag,Silver,2019,Australia,90000,563000,15.98579041,255.545495,1344.26395,
Ag,Silver,2019,Bolivia,22000,563000,3.907637655,15.26963205,1344.26395,
Ag,Silver,2019,Chile,26000,563000,4.618117229,21.32700674,1344.26395,
Ag,Silver,2019,China,41000,563000,7.282415631,53.03357742,1344.26395,
Ag,Silver,2019,Mexico,37000,563000,6.571936057,43.19034354,1344.26395,
Ag,Silver,2019,Peru,120000,563000,21.31438721,454.3031022,1344.26395,
Ag,Silver,2019,Poland,100000,563000,17.76198934,315.4882654,1344.26395,
Ag,Silver,2019,Russia,45000,563000,7.992895204,63.88637375,1344.26395,
Ag,Silver,2019,Other Contries,57000,563000,10.12433393,102.5021374,1344.26395,
Ag,Silver,2020,United States,26000,503000,5.168986083,26.71841713,1228.612421,
Ag,Silver,2020,Australia,88000,503000,17.49502982,306.0760684,1228.612421,
Ag,Silver,2020,Bolivia,22000,503000,4.373757455,19.12975428,1228.612421,
Ag,Silver,2020,Chile,26000,503000,5.168986083,26.71841713,1228.612421,
Ag,Silver,2020,China,41000,503000,8.151093439,66.44032426,1228.612421,
Ag,Silver,2020,Mexico,37000,503000,7.355864811,54.10874712,1228.612421,
Ag,Silver,2020,Peru,91000,503000,18.09145129,327.3006099,1228.612421,
Ag,Silver,2020,Poland,70000,503000,13.91650099,193.6689999,1228.612421,
Ag,Silver,2020,Russia,45000,503000,8.946322068,80.03667854,1228.612421,
Ag,Silver,2020,Other Contries,57000,503000,11.33200795,128.4144042,1228.612421,
Ag,Silver,2021,United States,26000,531000,4.896421846,23.97494689,1317.522636,
Ag,Silver,2021,Australia,90000,531000,16.94915254,287.2737719,1317.522636,
Ag,Silver,2021,Bolivia,22000,531000,4.143126177,17.16549452,1317.522636,
Ag,Silver,2021,Chile,26000,531000,4.896421846,23.97494689,1317.522636,
Ag,Silver,2021,China,41000,531000,7.721280603,59.61817414,1317.522636,
Ag,Silver,2021,Mexico,37000,531000,6.967984934,48.55281404,1317.522636,
Ag,Silver,2021,Peru,120000,531000,22.59887006,510.7089278,1317.522636,
Ag,Silver,2021,Poland,67000,531000,12.61770245,159.2064151,1317.522636,
Ag,Silver,2021,Russia,45000,531000,8.474576271,71.81844298,1317.522636,
Ag,Silver,2021,Other Contries,57000,531000,10.73446328,115.2287018,1317.522636,
Ag,Silver,2022,United States,23000,549700,4.184100418,17.50669631,1183.442412,
Ag,Silver,2022,Argentina,6500,549700,1.182463162,1.398219129,1183.442412,
Ag,Silver,2022,Australia,92000,549700,16.73640167,280.107141,1183.442412,
Ag,Silver,2022,Bolivia,22000,549700,4.002183009,16.01746884,1183.442412,
Ag,Silver,2022,Chile,26000,549700,4.729852647,22.37150606,1183.442412,
Ag,Silver,2022,China,71000,549700,12.91613607,166.8265711,1183.442412,
Ag,Silver,2022,India,7200,549700,1.309805348,1.715590051,1183.442412,
Ag,Silver,2022,Mexico,37000,549700,6.730944151,45.30560917,1183.442412,
Ag,Silver,2022,Peru,98000,549700,17.82790613,317.834237,1183.442412,
Ag,Silver,2022,Poland,65000,549700,11.82463162,139.8219129,1183.442412,
Ag,Silver,2022,Russia,45000,549700,8.186283427,67.01523635,1183.442412,
Ag,Silver,2022,Other Contries,57000,549700,10.36929234,107.5222237,1183.442412,
Ag,Silver,2023,United States,23000,610500,3.767403767,14.19333115,1206.466686,
Ag,Silver,2023,Argentina,6500,610500,1.064701065,1.133588357,1206.466686,
Ag,Silver,2023,Australia,94000,610500,15.3972154,237.074242,1206.466686,
Ag,Silver,2023,Bolivia,22000,610500,3.603603604,12.98595893,1206.466686,
Ag,Silver,2023,Chile,26000,610500,4.258804259,18.13741371,1206.466686,
Ag,Silver,2023,China,72000,610500,11.79361179,139.0892791,1206.466686,
Ag,Silver,2023,India,8000,610500,1.31040131,1.717151594,1206.466686,
Ag,Silver,2023,Mexico,37000,610500,6.060606061,36.73094582,1206.466686,
Ag,Silver,2023,Peru,110000,610500,18.01801802,324.6489733,1206.466686,
Ag,Silver,2023,Poland,63000,610500,10.31941032,106.4902293,1206.466686,
Ag,Silver,2023,Russia,92000,610500,15.06961507,227.0932983,1206.466686,
Ag,Silver,2023,Other Countries,57000,610500,9.336609337,87.1722739,1206.466686,
As,Arsenic,,,,,,,,World reserves data were unavailable but were estimated to be more than 20 times world production. 
Au,Gold,2016,United States,3000,57290,5.236515971,27.42109952,1238.855113,
Au,Gold,2016,Australia,9500,57290,16.58230058,274.9726924,1238.855113,
Au,Gold,2016,Brazil,2400,57290,4.189212777,17.54950369,1238.855113,
Au,Gold,2016,Canada,2400,57290,4.189212777,17.54950369,1238.855113,
Au,Gold,2016,China,2000,57290,3.491010648,12.18715534,1238.855113,
Au,Gold,2016,Ghana,990,57290,1.728050271,2.986157738,1238.855113,
Au,Gold,2016,Indonesia,3000,57290,5.236515971,27.42109952,1238.855113,
Au,Gold,2016,Mexico,1400,57290,2.443707453,5.971706117,1238.855113,
Au,Gold,2016,Papua New Guinea,1500,57290,2.618257986,6.85527488,1238.855113,
Au,Gold,2016,Peru,2400,57290,4.189212777,17.54950369,1238.855113,
Au,Gold,2016,Russia,8000,57290,13.96404259,194.9944855,1238.855113,
Au,Gold,2016,South Africa,6000,57290,10.47303194,109.6843981,1238.855113,
Au,Gold,2016,Uzbekistan,1700,57290,2.96735905,8.805219734,1238.855113,
Au,Gold,2016,Other Countries,13000,57290,22.69156921,514.9073132,1238.855113,
Au,Gold,2017,United States,3000,54200,5.535055351,30.63683773,1192.521888,
Au,Gold,2017,Australia,9800,54200,18.08118081,326.9290995,1192.521888,
Au,Gold,2017,Brazil,2400,54200,4.42804428,19.60757615,1192.521888,
Au,Gold,2017,Canada,2200,54200,4.05904059,16.47581051,1192.521888,
Au,Gold,2017,China,2000,54200,3.6900369,13.61637233,1192.521888,
Au,Gold,2017,Ghana,1000,54200,1.84501845,3.404093082,1192.521888,
Au,Gold,2017,Indonesia,2500,54200,4.612546125,21.27558176,1192.521888,
Au,Gold,2017,Kazakhstan,1000,54200,1.84501845,3.404093082,1192.521888,
Au,Gold,2017,Mexico,1400,54200,2.58302583,6.67202244,1192.521888,
Au,Gold,2017,Papua New Guinea,1300,54200,2.398523985,5.752917308,1192.521888,
Au,Gold,2017,Peru,2300,54200,4.243542435,18.0076524,1192.521888,
Au,Gold,2017,Russia,5500,54200,10.14760148,102.9738157,1192.521888,
Au,Gold,2017,South Africa,6000,54200,11.0701107,122.5473509,1192.521888,
Au,Gold,2017,Uzbekistan,1800,54200,3.32103321,11.02926158,1192.521888,
Au,Gold,2017,Other Countries,12000,54200,22.1402214,490.1894037,1192.521888,
Au,Gold,2018,United States,3000,53800,5.576208178,31.09409765,1199.955777,
Au,Gold,2018,Australia,9800,53800,18.21561338,331.8085709,1199.955777,
Au,Gold,2018,Brazil,2400,53800,4.460966543,19.9002225,1199.955777,
Au,Gold,2018,Canada,2000,53800,3.717472119,13.81959896,1199.955777,
Au,Gold,2018,China,2000,53800,3.717472119,13.81959896,1199.955777,
Au,Gold,2018,Ghana,1000,53800,1.858736059,3.454899739,1199.955777,
Au,Gold,2018,Indonesia,2500,53800,4.646840149,21.59312337,1199.955777,
Au,Gold,2018,Kazakhstan,1000,53800,1.858736059,3.454899739,1199.955777,
Au,Gold,2018,Mexico,1400,53800,2.602230483,6.771603488,1199.955777,
Au,Gold,2018,Papua New Guinea,1300,53800,2.416356877,5.838780559,1199.955777,
Au,Gold,2018,Peru,2300,53800,4.275092937,18.27641962,1199.955777,
Au,Gold,2018,Russia,5300,53800,9.851301115,97.04813366,1199.955777,
Au,Gold,2018,South Africa,6000,53800,11.15241636,124.3763906,1199.955777,
Au,Gold,2018,Uzbekistan,1800,53800,3.345724907,11.19387515,1199.955777,
Au,Gold,2018,Other Countries,12000,53800,22.30483271,497.5055624,1199.955777,
Au,Gold,2019,United States,3000,50300,5.964214712,35.57185713,1117.074887,
Au,Gold,2019,Argentina,1600,50300,3.180914513,10.11821714,1117.074887,
Au,Gold,2019,Australia,10000,50300,19.88071571,395.242857,1117.074887,
Au,Gold,2019,Brazil,2400,50300,4.771371769,22.76598856,1117.074887,
Au,Gold,2019,Canada,1900,50300,3.777335984,14.26826714,1117.074887,
Au,Gold,2019,China,2000,50300,3.976143141,15.80971428,1117.074887,
Au,Gold,2019,Ghana,1000,50300,1.988071571,3.95242857,1117.074887,
Au,Gold,2019,Indonesia,2600,50300,5.168986083,26.71841713,1117.074887,
Au,Gold,2019,Kazakhstan,1000,50300,1.988071571,3.95242857,1117.074887,
Au,Gold,2019,Mexico,1400,50300,2.783300199,7.746759997,1117.074887,
Au,Gold,2019,Papua New Guinea,1000,50300,1.988071571,3.95242857,1117.074887,
Au,Gold,2019,Peru,2100,50300,4.174950298,17.43020999,1117.074887,
Au,Gold,2019,Russia,5300,50300,10.53677932,111.0237185,1117.074887,
Au,Gold,2019,South Africa,3200,50300,6.361829026,40.47286855,1117.074887,
Au,Gold,2019,Uzbekistan,1800,50300,3.578528827,12.80586857,1117.074887,
Au,Gold,2019,Other Countries,10000,50300,19.88071571,395.242857,1117.074887,
Au,Gold,2020,United States,3000,53100,5.649717514,31.91930799,1055.713379,
Au,Gold,2020,Argentina,1600,53100,3.013182674,9.079269828,1055.713379,
Au,Gold,2020,Australia,10000,53100,18.83239171,354.6589777,1055.713379,
Au,Gold,2020,Brazil,2400,53100,4.519774011,20.42835711,1055.713379,
Au,Gold,2020,Canada,2200,53100,4.143126177,17.16549452,1055.713379,
Au,Gold,2020,China,2000,53100,3.766478343,14.18635911,1055.713379,
Au,Gold,2020,Ghana,1000,53100,1.883239171,3.546589777,1055.713379,
Au,Gold,2020,Indonesia,2600,53100,4.896421846,23.97494689,1055.713379,
Au,Gold,2020,Kazakhstan,1000,53100,1.883239171,3.546589777,1055.713379,
Au,Gold,2020,Mali,800,53100,1.506591337,2.269817457,1055.713379,
Au,Gold,2020,Mexico,1400,53100,2.63653484,6.951315962,1055.713379,
Au,Gold,2020,Papua New Guinea,1200,53100,2.259887006,5.107089278,1055.713379,
Au,Gold,2020,Peru,2700,53100,5.084745763,25.85463947,1055.713379,
Au,Gold,2020,Russia,7500,53100,14.12429379,199.4956749,1055.713379,
Au,Gold,2020,South Africa,2700,53100,5.084745763,25.85463947,1055.713379,
Au,Gold,2020,Uzbekistan,1800,53100,3.389830508,11.49095088,1055.713379,
Au,Gold,2020,Other Countries,9200,53100,17.32580038,300.1833587,1055.713379,
Au,Gold,2021,United States,3000,54100,5.545286506,30.75020244,1100.891414,
Au,Gold,2021,Argentina,1600,54100,2.957486137,8.746724249,1100.891414,
Au,Gold,2021,Australia,11000,54100,20.33271719,413.4193883,1100.891414,
Au,Gold,2021,Brazil,2400,54100,4.436229205,19.68012956,1100.891414,
Au,Gold,2021,Canada,2200,54100,4.066543438,16.53677553,1100.891414,
Au,Gold,2021,China,2000,54100,3.696857671,13.66675664,1100.891414,
Au,Gold,2021,Ghana,1000,54100,1.848428835,3.41668916,1100.891414,
Au,Gold,2021,Indonesia,2600,54100,4.805914972,23.09681872,1100.891414,
